node_id,group
1893,0
898,0
1578,0
559,0
88,0
1470,0
1697,0
1744,0
707,0
1488,0
11,0
1153,0
604,0
144,0
1321,0
761,0
611,0
1112,0
576,0
487,0
1313,0
1943,0
1271,0
1958,0
888,0
440,0
76,0
358,0
405,0
1951,0
236,0
147,0
1953,0
126,0
1676,0
973,0
1928,0
1226,0
57,0
1180,0
153,0
518,0
554,0
1900,0
1587,0
1293,0
1961,0
87,0
497,0
918,0
1768,0
1553,0
544,0
1736,0
306,0
997,0
1036,0
189,0
1927,0
1007,0
1067,0
958,0
1506,0
446,0
896,0
473,0
1519,0
609,0
425,0
1899,0
1992,0
1813,0
31,0
233,0
162,0
1779,0
1561,0
549,0
722,0
1109,0
1094,0
674,0
1794,0
852,0
983,0
1279,0
1245,0
295,0
1456,0
1037,0
1502,0
917,0
1693,0
1086,0
930,0
734,0
325,0
273,0
1483,0
704,0
1516,0
58,0
645,0
404,0
260,0
675,0
1110,0
999,0
374,0
907,0
662,0
286,0
1809,0
49,0
1754,0
1841,0
1218,0
1366,0
1429,0
26,0
70,0
1849,0
461,0
887,0
125,0
1615,0
836,0
1579,0
1383,0
1003,0
1692,0
1164,0
539,0
258,0
1591,0
1912,0
1116,0
637,0
1233,0
869,0
1468,0
1405,0
1549,0
1027,0
782,0
805,0
568,0
276,0
615,0
677,0
252,0
98,0
137,0
1719,0
398,0
8,0
213,0
1290,0
1398,0
1306,0
693,0
68,0
1819,0
670,0
1727,0
1847,0
75,0
682,0
1512,0
231,0
1489,0
1701,0
493,0
1445,0
1302,0
1378,0
1100,0
1690,0
132,0
1934,0
1562,0
594,0
1215,0
1968,0
665,0
956,0
1160,0
414,0
826,0
356,0
661,0
1659,0
357,0
1720,0
630,0
919,0
1486,0
67,0
1421,0
301,0
664,0
1272,0
824,0
1986,0
225,0
1688,0
1186,0
1319,0
146,0
1021,0
1482,0
1776,0
582,0
772,0
860,0
390,0
1965,0
188,0
463,0
1089,0
1746,0
1451,0
138,0
1577,0
652,0
1121,0
1091,0
1275,0
1457,0
1294,0
908,0
513,0
253,0
354,0
574,0
1894,0
963,0
1140,0
