node_id,group
26,0
86,0
2,0
55,0
75,0
93,0
16,0
73,0
54,0
95,0
53,0
92,0
78,0
13,0
7,0
30,0
22,0
24,0
33,0
8,0
43,0
62,0
3,0
71,0
45,0
48,0
6,0
99,0
82,0
76,0
60,0
80,0
90,0
68,0
51,0
27,0
18,0
56,0
63,0
74,0
1,0
61,0
42,0
41,0
4,0
15,0
17,0
40,0
38,0
5,0
91,0
59,0
0,0
34,0
28,0
50,0
11,0
35,0
23,0
52,0
10,0
31,0
66,0
57,0
79,0
85,0
32,0
84,0
14,0
89,0
19,0
29,0
49,0
97,0
98,0
69,0
20,0
94,0
72,0
77,0
25,1
37,1
81,1
46,1
39,1
65,1
58,1
12,1
88,1
70,1
87,2
36,2
21,2
83,2
9,2
96,2
67,2
64,2
47,2
44,2
