node_id,group
1072,0
1048,0
204,0
694,0
1758,0
284,0
1866,0
1926,0
1886,0
1724,0
868,0
1891,0
1782,0
1703,0
802,0
1302,0
1274,0
1037,0
595,0
1912,0
1824,0
1028,0
350,0
1089,0
2,0
1075,0
1504,0
110,0
1062,0
108,0
918,0
500,0
361,0
1547,0
1281,0
1158,0
1327,0
196,0
1817,0
237,0
788,0
720,0
1295,0
1409,0
1704,0
544,0
1260,0
1884,0
1306,0
845,0
841,0
1317,0
1545,0
1647,0
1733,0
1056,0
1793,0
172,0
1787,0
835,0
441,0
1554,0
1375,0
789,0
185,0
438,0
372,0
140,0
1277,0
1396,0
1469,0
586,0
848,0
299,0
795,0
1412,0
353,0
1070,0
1464,0
1686,0
1844,0
957,0
1534,0
1682,0
715,0
1432,0
423,0
311,0
1323,0
1381,0
1680,0
37,0
527,0
691,0
1240,0
707,0
58,0
1496,0
1210,0
127,0
447,0
397,0
229,0
1836,0
34,0
970,0
1485,0
1150,0
1805,0
748,0
1920,0
590,0
857,0
410,0
1106,0
1784,0
1399,0
928,0
7,0
721,0
1441,0
1935,0
971,0
1444,0
572,0
1951,0
1814,0
1420,0
1576,0
20,0
452,0
375,0
1044,0
1852,0
892,0
1877,0
470,0
925,0
983,0
1853,0
360,0
797,0
1390,0
479,0
1571,0
738,0
1998,0
1594,0
1195,0
262,0
241,0
1363,0
1350,0
1064,0
653,0
1741,0
51,0
36,0
620,0
1271,0
1757,0
862,0
638,0
1636,0
1116,0
735,0
206,0
1308,0
1887,0
945,0
1231,0
747,0
921,0
1705,0
146,0
278,0
430,0
623,0
377,0
1842,0
744,0
374,0
367,0
816,0
1905,0
259,0
1622,0
1526,0
1436,0
875,0
1139,0
1832,0
651,0
1839,0
217,0
1944,0
141,0
339,0
1109,0
1965,0
313,0
1118,0
528,0
344,0
997,0
872,0
1827,0
1913,0
1587,0
1128,0
666,0
1276,0
1010,0
450,0
179,0
1484,0
454,0
1078,0
635,0
328,0
734,0
578,0
1122,0
1706,0
1653,0
1575,0
71,0
562,0
765,0
392,0
474,0
426,0
1874,0
1461,0
200,0
565,0
1251,0
1113,0
308,0
1261,0
1380,0
1690,0
800,0
603,0
769,0
1628,0
116,0
1226,0
298,0
1660,0
501,0
1990,0
1159,0
4,0
1186,0
507,0
46,0
1997,0
1269,0
1825,0
431,0
1022,0
330,0
1599,0
1401,0
593,0
561,0
1588,0
194,0
1957,0
1215,0
1491,0
351,0
1011,0
463,0
1781,0
465,0
1042,0
341,0
1796,0
396,0
109,0
1340,0
1577,0
1729,0
1336,0
540,0
471,0
1241,0
95,0
1638,0
1509,0
19,0
663,0
1830,0
1928,0
1124,0
1257,0
340,0
1601,0
947,0
1589,0
222,0
1077,0
669,0
1038,0
684,0
111,0
1529,0
412,0
358,0
287,0
1304,0
887,0
488,0
419,0
415,0
1382,0
1845,0
746,0
1820,0
17,0
1499,0
1930,0
1894,0
898,0
514,0
525,0
1609,0
54,0
263,0
101,0
275,0
858,0
951,0
249,0
967,0
1417,0
386,0
556,0
1395,0
1049,0
1752,0
1343,0
60,0
363,0
1183,0
1659,0
210,0
281,0
1414,0
637,0
517,0
1293,0
1227,0
1008,0
